entry_id,lipid_system,lipid_components,composition,property,value,unit,uncertainty,temperature_C,phase,hydration,type,method,force_field,source_doi,source_citation,source_locator,extraction_confidence,notes,date_added
1263,POPC,POPC,single,area_per_lipid,60.84,A^2,0.012,39.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.3434100,NMRlipidsDatabank_ID415,NMRlipids BilayerData sim ID 415,high,NMRlipids Databank; FF_raw='ECC-lipids'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1264,POPC,POPC,single,thickness_DB,44.15,A,,39.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.3434100,NMRlipidsDatabank_ID415,NMRlipids BilayerData sim ID 415,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='ECC-lipids'. Def: total-density-based head-head thickness.",2026-07-01
1265,POPC,POPC,single,order_param_SCD_plateau,0.2255,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.3434100,NMRlipidsDatabank_ID415,NMRlipids BilayerData sim ID 415,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=POPC; FF_raw='ECC-lipids'.",2026-07-01
1266,POPC,POPC,single,order_param_SCD_plateau,0.1941,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.3434100,NMRlipidsDatabank_ID415,NMRlipids BilayerData sim ID 415,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='ECC-lipids'.",2026-07-01
1267,POPE,POPE,single,area_per_lipid,54.68,A^2,0.009,29.85,fluid,fully_hydrated,computational,MD_simulation,Berger,10.5281/zenodo.1293889,NMRlipidsDatabank_ID579,NMRlipids BilayerData sim ID 579,high,NMRlipids Databank; FF_raw='Berger-POPE-2004'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1268,POPE,POPE,single,thickness_DB,45.16,A,,29.85,fluid,fully_hydrated,computational,MD_simulation,Berger,10.5281/zenodo.1293889,NMRlipidsDatabank_ID579,NMRlipids BilayerData sim ID 579,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='Berger-POPE-2004'. Def: total-density-based head-head thickness.",2026-07-01
1269,POPE,POPE,single,order_param_SCD_plateau,0.276,dimensionless,,29.85,fluid,fully_hydrated,computational,MD_simulation,Berger,10.5281/zenodo.1293889,NMRlipidsDatabank_ID579,NMRlipids BilayerData sim ID 579,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C8_M); component=POPE; FF_raw='Berger-POPE-2004'.",2026-07-01
1270,POPE,POPE,single,order_param_SCD_plateau,0.2613,dimensionless,,29.85,fluid,fully_hydrated,computational,MD_simulation,Berger,10.5281/zenodo.1293889,NMRlipidsDatabank_ID579,NMRlipids BilayerData sim ID 579,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C8_M); component=POPE; FF_raw='Berger-POPE-2004'.",2026-07-01
1271,CHOL:POPC (1:1),CHOL:POPC,1:1,area_per_lipid,41.98,A^2,0.001,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,NMRlipids BilayerData sim ID 13,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1272,CHOL:POPC (1:1),CHOL:POPC,1:1,thickness_DB,47.41,A,,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,NMRlipids BilayerData sim ID 13,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1273,CHOL:POPC (1:1),POPC,1:1,order_param_SCD_plateau,0.402,dimensionless,,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,NMRlipids BilayerData sim ID 13,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C8_M); component=POPC; FF_raw='CHARMM36'.",2026-07-01
1274,CHOL:POPC (1:1),POPC,1:1,order_param_SCD_plateau,0.3536,dimensionless,,29.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,NMRlipids BilayerData sim ID 13,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='CHARMM36'.",2026-07-01
1275,DPPC:CHOL (43:5),DPPC:CHOL,43:5,area_per_lipid,50.82,A^2,0.005,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.439066,NMRlipidsDatabank_ID215,NMRlipids BilayerData sim ID 215,high,NMRlipids Databank; FF_raw='Slipids'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1276,DPPC:CHOL (43:5),DPPC:CHOL,43:5,thickness_DB,46.33,A,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.439066,NMRlipidsDatabank_ID215,NMRlipids BilayerData sim ID 215,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='Slipids'. Def: total-density-based head-head thickness.",2026-07-01
1277,DPPC:CHOL (43:5),DPPC,43:5,order_param_SCD_plateau,0.3063,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.439066,NMRlipidsDatabank_ID215,NMRlipids BilayerData sim ID 215,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=DPPC; FF_raw='Slipids'.",2026-07-01
1278,DPPC:CHOL (43:5),DPPC,43:5,order_param_SCD_plateau,0.3075,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.439066,NMRlipidsDatabank_ID215,NMRlipids BilayerData sim ID 215,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C8_M); component=DPPC; FF_raw='Slipids'.",2026-07-01
1279,DPPC:CHOL (43:5),DPPC:CHOL,43:5,area_per_lipid,50.74,A^2,0.005,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.3539263,NMRlipidsDatabank_ID216,NMRlipids BilayerData sim ID 216,high,NMRlipids Databank; FF_raw='Slipids'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1280,DPPC:CHOL (43:5),DPPC:CHOL,43:5,thickness_DB,46.7,A,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.3539263,NMRlipidsDatabank_ID216,NMRlipids BilayerData sim ID 216,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='Slipids'. Def: total-density-based head-head thickness.",2026-07-01
1281,DPPC:CHOL (43:5),DPPC,43:5,order_param_SCD_plateau,0.3073,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.3539263,NMRlipidsDatabank_ID216,NMRlipids BilayerData sim ID 216,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=DPPC; FF_raw='Slipids'.",2026-07-01
1282,DPPC:CHOL (43:5),DPPC,43:5,order_param_SCD_plateau,0.3085,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,Slipids,10.5281/zenodo.3539263,NMRlipidsDatabank_ID216,NMRlipids BilayerData sim ID 216,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C8_M); component=DPPC; FF_raw='Slipids'.",2026-07-01
1283,DOPC:CHOL (4:1),DOPC:CHOL,4:1,area_per_lipid,60.0,A^2,0.026,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943929,NMRlipidsDatabank_ID645,NMRlipids BilayerData sim ID 645,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1284,DOPC:CHOL (4:1),DOPC:CHOL,4:1,thickness_DB,42.94,A,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943929,NMRlipidsDatabank_ID645,NMRlipids BilayerData sim ID 645,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1285,DOPC:CHOL (4:1),DOPC,4:1,order_param_SCD_plateau,0.2196,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943929,NMRlipidsDatabank_ID645,NMRlipids BilayerData sim ID 645,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=DOPC; FF_raw='CHARMM36'.",2026-07-01
1286,DOPC:CHOL (4:1),DOPC,4:1,order_param_SCD_plateau,0.2215,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943929,NMRlipidsDatabank_ID645,NMRlipids BilayerData sim ID 645,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=DOPC; FF_raw='CHARMM36'.",2026-07-01
1287,POPS:POPC (1:5),POPS:POPC,1:5,area_per_lipid,58.68,A^2,0.008,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,high,"NMRlipids Databank; FF_raw='ECC-lipids, SPC/E water model, ECC-ions'; time-averaged APL (total area/lipids). software=gromacs.",2026-07-01
1288,POPS:POPC (1:5),POPS:POPC,1:5,thickness_DB,43.97,A,,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='ECC-lipids, SPC/E water model, ECC-ions'. Def: total-density-based head-head thickness.",2026-07-01
1289,POPS:POPC (1:5),POPS,1:5,order_param_SCD_plateau,0.2508,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPS; FF_raw='ECC-lipids, SPC/E water model, ECC-ions'.",2026-07-01
1290,POPS:POPC (1:5),POPS,1:5,order_param_SCD_plateau,0.2051,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPS; FF_raw='ECC-lipids, SPC/E water model, ECC-ions'.",2026-07-01
1291,POPS:POPC (1:5),POPC,1:5,order_param_SCD_plateau,0.2453,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=POPC; FF_raw='ECC-lipids, SPC/E water model, ECC-ions'.",2026-07-01
1292,POPS:POPC (1:5),POPC,1:5,order_param_SCD_plateau,0.2062,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,ECC-lipids,10.5281/zenodo.1488102,NMRlipidsDatabank_ID25,NMRlipids BilayerData sim ID 25,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='ECC-lipids, SPC/E water model, ECC-ions'.",2026-07-01
1293,SOPC,SOPC,single,area_per_lipid,67.44,A^2,0.017,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID631,NMRlipids BilayerData sim ID 631,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1294,SOPC,SOPC,single,thickness_DB,42.22,A,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID631,NMRlipids BilayerData sim ID 631,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1295,SOPC,SOPC,single,order_param_SCD_plateau,0.2091,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID631,NMRlipids BilayerData sim ID 631,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
1296,SOPC,SOPC,single,order_param_SCD_plateau,0.1935,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID631,NMRlipids BilayerData sim ID 631,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
1297,POPG:POPC (1:1),POPG:POPC,1:1,area_per_lipid,62.45,A^2,0.007,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,high,NMRlipids Databank; FF_raw='lipid17ecc'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1298,POPG:POPC (1:1),POPG:POPC,1:1,thickness_DB,40.34,A,,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='lipid17ecc'. Def: total-density-based head-head thickness.",2026-07-01
1299,POPG:POPC (1:1),POPG,1:1,order_param_SCD_plateau,0.2149,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPG; FF_raw='lipid17ecc'.",2026-07-01
1300,POPG:POPC (1:1),POPG,1:1,order_param_SCD_plateau,0.1794,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPG; FF_raw='lipid17ecc'.",2026-07-01
1301,POPG:POPC (1:1),POPC,1:1,order_param_SCD_plateau,0.2384,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=POPC; FF_raw='lipid17ecc'.",2026-07-01
1302,POPG:POPC (1:1),POPC,1:1,order_param_SCD_plateau,0.2837,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,Lipid17,10.5281/zenodo.3859339,NMRlipidsDatabank_ID146,NMRlipids BilayerData sim ID 146,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C10_M); component=POPC; FF_raw='lipid17ecc'.",2026-07-01
1303,DOPC,DOPC,single,area_per_lipid,68.43,A^2,0.015,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.3592499,NMRlipidsDatabank_ID56,NMRlipids BilayerData sim ID 56,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1304,DOPC,DOPC,single,thickness_DB,41.02,A,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.3592499,NMRlipidsDatabank_ID56,NMRlipids BilayerData sim ID 56,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1305,DOPC,DOPC,single,order_param_SCD_plateau,0.209,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.3592499,NMRlipidsDatabank_ID56,NMRlipids BilayerData sim ID 56,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=DOPC; FF_raw='CHARMM36'.",2026-07-01
1306,DOPC,DOPC,single,order_param_SCD_plateau,0.1978,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.3592499,NMRlipidsDatabank_ID56,NMRlipids BilayerData sim ID 56,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=DOPC; FF_raw='CHARMM36'.",2026-07-01
1307,SOPC,SOPC,single,area_per_lipid,67.55,A^2,0.035,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID625,NMRlipids BilayerData sim ID 625,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1308,SOPC,SOPC,single,thickness_DB,43.1,A,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID625,NMRlipids BilayerData sim ID 625,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1309,SOPC,SOPC,single,order_param_SCD_plateau,0.2108,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID625,NMRlipids BilayerData sim ID 625,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
1310,SOPC,SOPC,single,order_param_SCD_plateau,0.1948,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID625,NMRlipids BilayerData sim ID 625,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=SOPC; FF_raw='CHARMM36'.",2026-07-01
1311,POPC:POPS (5:1),POPC:POPS,5:1,area_per_lipid,58.2,A^2,0.012,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,high,"NMRlipids Databank; FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'; time-averaged APL (total area/lipids). software=gromacs.",2026-07-01
1312,POPC:POPS (5:1),POPC:POPS,5:1,thickness_DB,45.96,A,,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'. Def: total-density-based head-head thickness.",2026-07-01
1313,POPC:POPS (5:1),POPC,5:1,order_param_SCD_plateau,0.2581,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C8_M); component=POPC; FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'.",2026-07-01
1314,POPC:POPS (5:1),POPC,5:1,order_param_SCD_plateau,0.257,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'.",2026-07-01
1315,POPC:POPS (5:1),POPS,5:1,order_param_SCD_plateau,0.2659,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C8_M); component=POPS; FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'.",2026-07-01
1316,POPC:POPS (5:1),POPS,5:1,order_param_SCD_plateau,0.267,dimensionless,,24.85,fluid,fully_hydrated,computational,MD_simulation,GROMOS,10.5281/zenodo.1283333,NMRlipidsDatabank_ID460,NMRlipids BilayerData sim ID 460,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C5_M); component=POPS; FF_raw='GROMOS-CKP, GROMOS NH3 charges and PME'.",2026-07-01
1317,POPC:DHMDMAB (25:11),POPC:DHMDMAB,25:11,area_per_lipid,60.68,A^2,0.009,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1318,POPC:DHMDMAB (25:11),POPC:DHMDMAB,25:11,thickness_DB,39.92,A,,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1319,POPC:DHMDMAB (25:11),POPC,25:11,order_param_SCD_plateau,0.2451,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=POPC; FF_raw='CHARMM36'.",2026-07-01
1320,POPC:DHMDMAB (25:11),POPC,25:11,order_param_SCD_plateau,0.2341,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPC; FF_raw='CHARMM36'.",2026-07-01
1321,POPC:DHMDMAB (25:11),DHMDMAB,25:11,order_param_SCD_plateau,0.191,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C5_M); component=DHMDMAB; FF_raw='CHARMM36'.",2026-07-01
1322,POPC:DHMDMAB (25:11),DHMDMAB,25:11,order_param_SCD_plateau,0.1912,dimensionless,,39.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.1288297,NMRlipidsDatabank_ID272,NMRlipids BilayerData sim ID 272,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C5_M); component=DHMDMAB; FF_raw='CHARMM36'.",2026-07-01
1323,DLIPC,DLIPC,single,area_per_lipid,72.72,A^2,0.018,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID587,NMRlipids BilayerData sim ID 587,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1324,DLIPC,DLIPC,single,thickness_DB,38.67,A,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID587,NMRlipids BilayerData sim ID 587,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1325,DLIPC,DLIPC,single,order_param_SCD_plateau,0.1969,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID587,NMRlipids BilayerData sim ID 587,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C3_M); component=DLIPC; FF_raw='CHARMM36'.",2026-07-01
1326,DLIPC,DLIPC,single,order_param_SCD_plateau,0.1786,dimensionless,,60.0,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.6943413,NMRlipidsDatabank_ID587,NMRlipids BilayerData sim ID 587,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=DLIPC; FF_raw='CHARMM36'.",2026-07-01
1327,POPI:POPE:NH4 (?),POPI:POPE:NH4,?,area_per_lipid,59.98,A^2,0.005,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,NMRlipids BilayerData sim ID 854,high,NMRlipids Databank; FF_raw='CHARMM36'; time-averaged APL (total area/lipids). software=gromacs.,2026-07-01
1328,POPI:POPE:NH4 (?),POPI:POPE:NH4,?,thickness_DB,47.39,A,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,NMRlipids BilayerData sim ID 854,medium,"NMRlipids Databank thickness (nm->A): water/lipid density-crossover (Luzzati/Gibbs dividing-surface style, NOT head-head). FF_raw='CHARMM36'. Def: total-density-based head-head thickness.",2026-07-01
1329,POPI:POPE:NH4 (?),POPI,?,order_param_SCD_plateau,0.2494,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,NMRlipids BilayerData sim ID 854,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=POPI; FF_raw='CHARMM36'.",2026-07-01
1330,POPI:POPE:NH4 (?),POPI,?,order_param_SCD_plateau,0.2367,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,NMRlipids BilayerData sim ID 854,medium,"|SCD| plateau (sn-2, max carbon-avg |SCD|, carbon M_G2C6_M); component=POPI; FF_raw='CHARMM36'.",2026-07-01
1331,POPI:POPE:NH4 (?),POPE,?,order_param_SCD_plateau,0.2381,dimensionless,,36.85,fluid,fully_hydrated,computational,MD_simulation,CHARMM36,10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,NMRlipids BilayerData sim ID 854,medium,"|SCD| plateau (sn-1, max carbon-avg |SCD|, carbon M_G1C7_M); component=POPE; FF_raw='CHARMM36'.",2026-07-01
